Date,Sector,AUC as on Date
29-Feb-20,Transport Related Services,8356
29-Feb-20,Airport Services,2383
29-Feb-20,Utilities3,78404
29-Feb-20,Sovereign,0
29-Feb-20,Others4,17819
29-Feb-20,Grand Total,2886931
29-Feb-20,"Textiles, Apparels & Accessories",38925
29-Feb-20,General Industrials,14578
29-Feb-20,"Food, Beverages & Tobacco",100171
29-Feb-20,Healthcare Equipment & Supplies,83
29-Feb-20,Other Financial Services1,451154
29-Feb-20,Hardware Technology & Equipment,56
29-Feb-20,Banks,638225
29-Feb-20,Total Financial Services,1089379
29-Feb-20,Automobiles & Auto Components,131467
29-Feb-20,,
29-Feb-20,,
29-Feb-20,,"AUC as on February 29, 2020"
29-Feb-20,Realty,30581
29-Feb-20,Pharmaceuticals & Biotechnology,100330
29-Feb-20,Oil & Gas,262866
29-Feb-20,Metals & Mining,37171
29-Feb-20,Media,22024
29-Feb-20,Insurance,72516
29-Feb-20,Household & Personal Products,107712
29-Feb-20,"Hotels, Restaurants & Tourism",13615
29-Feb-20,Healthcare Services,22894
29-Feb-20,Real Estate Investment,0
15-Mar-20,Oil & Gas,216216
15-Mar-20,Roads & Highways,1154
15-Mar-20,Logistics,1373
15-Mar-20,Marine Port & Services,11828
15-Mar-20,Shipping,910
15-Mar-20,Sovereign,0
15-Mar-20,Surface Transportation,26
15-Mar-20,Transport Related Services,6220
15-Mar-20,Airport Services,2031
15-Mar-20,Utilities3,68379
15-Mar-20,Others4,16082
15-Mar-20,Telecom Services,77847
15-Mar-20,Telecommunications Equipment,94
15-Mar-20,"Textiles, Apparels & Accessories",33941
15-Mar-20,Transportation,29078
15-Mar-20,Grand Total,2526786
15-Mar-20,Airlines,5536
15-Mar-20,Metals & Mining,30397
15-Mar-20,Media,17387
15-Mar-20,Household & Personal Products,99263
15-Mar-20,Chemicals & Petrochemicals,36074
15-Mar-20,Insurance,63533
15-Mar-20,Real Estate Investment,0
15-Mar-20,Pharmaceuticals & Biotechnology,92940
15-Mar-20,Software & Services,287591
15-Mar-20,Automobiles & Auto Components,118704
15-Mar-20,,
15-Mar-20,,
15-Mar-20,,"AUC as on March 15, 2020"
15-Mar-20,Total Financial Services,952460
15-Mar-20,Banks,548765
15-Mar-20,Other Financial Services1,403695
15-Mar-20,Capital Goods,71472
15-Mar-20,Realty,25600
15-Mar-20,Retailing,36522
15-Mar-20,Commercial Services & Supplies,6637
15-Mar-20,"Hotels, Restaurants & Tourism",11411
15-Mar-20,Healthcare Services,20344
15-Mar-20,Healthcare Equipment & Supplies,73
15-Mar-20,Hardware Technology & Equipment,41
15-Mar-20,Coal,7772
15-Mar-20,Forest Materials,686
15-Mar-20,General Industrials,12569
15-Mar-20,Food & Drugs Retailing,0
15-Mar-20,Diversified Consumer Services,2532
15-Mar-20,Diversified2,6100
15-Mar-20,Consumer Durables,50188
15-Mar-20,Construction Materials,48582
15-Mar-20,"Food, Beverages & Tobacco",86272
31-Mar-20,Diversified Consumer Services,1900
31-Mar-20,Diversified2,4594
31-Mar-20,Hardware Technology & Equipment,29
31-Mar-20,Transport Related Services,5432
31-Mar-20,Transportation,25338
31-Mar-20,Airlines,5634
31-Mar-20,Logistics,1058
31-Mar-20,Marine Port & Services,9573
31-Mar-20,Roads & Highways,827
31-Mar-20,Food & Drugs Retailing,0
31-Mar-20,"Textiles, Apparels & Accessories",27978
31-Mar-20,"Food, Beverages & Tobacco",84126
31-Mar-20,Real Estate Investment,0
31-Mar-20,General Industrials,9441
31-Mar-20,Healthcare Equipment & Supplies,61
31-Mar-20,Healthcare Services,16474
31-Mar-20,"Hotels, Restaurants & Tourism",9271
31-Mar-20,Household & Personal Products,105308
31-Mar-20,Insurance,57078
31-Mar-20,Media,12257
31-Mar-20,Metals & Mining,22566
31-Mar-20,Oil & Gas,206943
31-Mar-20,Pharmaceuticals & Biotechnology,89291
31-Mar-20,Realty,19275
31-Mar-20,Retailing,31849
31-Mar-20,Software & Services,273198
31-Mar-20,Telecom Services,65166
31-Mar-20,Telecommunications Equipment,79
31-Mar-20,Construction Materials,38797
31-Mar-20,Forest Materials,560
31-Mar-20,Commercial Services & Supplies,5471
31-Mar-20,Surface Transportation,27
31-Mar-20,Chemicals & Petrochemicals,30178
31-Mar-20,Airport Services,1976
31-Mar-20,Utilities3,62130
31-Mar-20,Sovereign,0
31-Mar-20,Others4,11238
31-Mar-20,Grand Total,2117566
31-Mar-20,Shipping,811
31-Mar-20,Consumer Durables,45909
31-Mar-20,,"AUC as on March 31, 2020"
31-Mar-20,Coal,7132
31-Mar-20,,
31-Mar-20,Automobiles & Auto Components,88463
31-Mar-20,Total Financial Services,709218
31-Mar-20,Banks,411179
31-Mar-20,Other Financial Services1,298039
31-Mar-20,,
31-Mar-20,Capital Goods,56250
15-Apr-20,Retailing,32787
15-Apr-20,Forest Materials,615
15-Apr-20,General Industrials,9807
15-Apr-20,Hardware Technology & Equipment,37
15-Apr-20,Healthcare Equipment & Supplies,60
15-Apr-20,Healthcare Services,17925
15-Apr-20,"Hotels, Restaurants & Tourism",9013
15-Apr-20,,
15-Apr-20,Automobiles & Auto Components,99970
15-Apr-20,Total Financial Services,702001
15-Apr-20,Banks,408631
15-Apr-20,Other Financial Services1,293370
15-Apr-20,Capital Goods,61147
15-Apr-20,Chemicals & Petrochemicals,32913
15-Apr-20,Coal,7407
15-Apr-20,Commercial Services & Supplies,5770
15-Apr-20,Construction Materials,41714
15-Apr-20,Software & Services,269960
15-Apr-20,Real Estate Investment,0
15-Apr-20,Telecom Services,74853
15-Apr-20,Pharmaceuticals & Biotechnology,108937
15-Apr-20,Oil & Gas,216076
15-Apr-20,Metals & Mining,25241
15-Apr-20,Realty,19557
15-Apr-20,Media,13442
15-Apr-20,Household & Personal Products,116587
15-Apr-20,"Food, Beverages & Tobacco",92511
15-Apr-20,Food & Drugs Retailing,0
15-Apr-20,Diversified Consumer Services,1917
15-Apr-20,Diversified2,5212
15-Apr-20,Consumer Durables,47189
15-Apr-20,Insurance,60088
15-Apr-20,Telecommunications Equipment,92
15-Apr-20,,"AUC as on April 15, 2020"
15-Apr-20,Transportation,26685
15-Apr-20,"Textiles, Apparels & Accessories",28250
15-Apr-20,Grand Total,2204823
15-Apr-20,,
15-Apr-20,Sovereign,0
15-Apr-20,Utilities3,65851
15-Apr-20,Airport Services,2075
15-Apr-20,Others4,11207
15-Apr-20,Surface Transportation,25
15-Apr-20,Shipping,773
15-Apr-20,Roads & Highways,1037
15-Apr-20,Marine Port & Services,9998
15-Apr-20,Logistics,1146
15-Apr-20,Airlines,5314
15-Apr-20,Transport Related Services,6316
30-Apr-20,Pharmaceuticals & Biotechnology,112611
30-Apr-20,Real Estate Investment,0
30-Apr-20,Realty,20337
30-Apr-20,Retailing,35185
30-Apr-20,Software & Services,301304
30-Apr-20,Telecom Services,75452
30-Apr-20,Telecommunications Equipment,91
30-Apr-20,"Textiles, Apparels & Accessories",28683
30-Apr-20,Transportation,27125
30-Apr-20,Transport Related Services,6148
30-Apr-20,Logistics,1145
30-Apr-20,Roads & Highways,1041
30-Apr-20,Shipping,912
30-Apr-20,Surface Transportation,24
30-Apr-20,Oil & Gas,267661
30-Apr-20,Airport Services,2104
30-Apr-20,Utilities3,68215
30-Apr-20,Sovereign,0
30-Apr-20,Others4,11138
30-Apr-20,Grand Total,2423008
30-Apr-20,Airlines,5091
30-Apr-20,Metals & Mining,26959
30-Apr-20,Hardware Technology & Equipment,40
30-Apr-20,Insurance,65313
30-Apr-20,,"AUC as on April 30, 2020"
30-Apr-20,,
30-Apr-20,,
30-Apr-20,Automobiles & Auto Components,107705
30-Apr-20,Total Financial Services,804814
30-Apr-20,Banks,465367
30-Apr-20,Other Financial Services1,339448
30-Apr-20,Capital Goods,64930
30-Apr-20,Chemicals & Petrochemicals,36390
30-Apr-20,Coal,7347
30-Apr-20,Media,15893
30-Apr-20,Commercial Services & Supplies,5505
30-Apr-20,Consumer Durables,48798
30-Apr-20,Diversified2,5552
30-Apr-20,Diversified Consumer Services,1920
30-Apr-20,Food & Drugs Retailing,0
30-Apr-20,"Food, Beverages & Tobacco",91587
30-Apr-20,General Industrials,11062
30-Apr-20,Healthcare Equipment & Supplies,54
30-Apr-20,Healthcare Services,18877
30-Apr-20,"Hotels, Restaurants & Tourism",9812
30-Apr-20,Household & Personal Products,110506
30-Apr-20,Construction Materials,41484
30-Apr-20,Marine Port & Services,10659
30-Apr-20,Forest Materials,659
15-May-20,Retailing,34244
15-May-20,Insurance,64015
15-May-20,Media,16037
15-May-20,Metals & Mining,25830
15-May-20,Oil & Gas,267870
15-May-20,Pharmaceuticals & Biotechnology,110824
15-May-20,Real Estate Investment,0
15-May-20,Realty,18849
15-May-20,Software & Services,282406
15-May-20,Telecom Services,81719
15-May-20,Telecommunications Equipment,86
15-May-20,"Textiles, Apparels & Accessories",25770
15-May-20,"Hotels, Restaurants & Tourism",9815
15-May-20,Transportation,27835
15-May-20,Logistics,1087
15-May-20,Marine Port & Services,11225
15-May-20,Roads & Highways,942
15-May-20,Shipping,809
15-May-20,Surface Transportation,22
15-May-20,Transport Related Services,6237
15-May-20,Airport Services,2273
15-May-20,Utilities3,65000
15-May-20,Sovereign,0
15-May-20,Others4,10661
15-May-20,Grand Total,2286754
15-May-20,Airlines,5241
15-May-20,Healthcare Services,18357
15-May-20,Household & Personal Products,122545
15-May-20,Hardware Technology & Equipment,38
15-May-20,,"AUC as on May 15, 2020"
15-May-20,,
15-May-20,,
15-May-20,Automobiles & Auto Components,105136
15-May-20,Total Financial Services,702716
15-May-20,Healthcare Equipment & Supplies,64
15-May-20,Other Financial Services1,296670
15-May-20,Capital Goods,62313
15-May-20,Chemicals & Petrochemicals,33465
15-May-20,Coal,6437
15-May-20,Banks,406046
15-May-20,General Industrials,10027
15-May-20,Construction Materials,41633
15-May-20,Consumer Durables,43633
15-May-20,Diversified2,5253
15-May-20,Diversified Consumer Services,1743
15-May-20,Food & Drugs Retailing,0
15-May-20,"Food, Beverages & Tobacco",86185
15-May-20,Forest Materials,589
15-May-20,Commercial Services & Supplies,5660
31-May-20,Telecom Services,89120
31-May-20,Software & Services,296499
31-May-20,Retailing,34738
31-May-20,Realty,19807
31-May-20,Household & Personal Products,125437
31-May-20,Real Estate Investment,0
31-May-20,Media,17456
31-May-20,Metals & Mining,27356
31-May-20,Oil & Gas,271292
31-May-20,Pharmaceuticals & Biotechnology,116816
31-May-20,Telecommunications Equipment,76
31-May-20,Insurance,66936
31-May-20,"Textiles, Apparels & Accessories",26629
31-May-20,Transport Related Services,6199
31-May-20,Airlines,5194
31-May-20,Logistics,1056
31-May-20,Marine Port & Services,11823
31-May-20,Roads & Highways,911
31-May-20,Surface Transportation,22
31-May-20,"Hotels, Restaurants & Tourism",10186
31-May-20,Airport Services,2382
31-May-20,Utilities3,65767
31-May-20,Sovereign,0
31-May-20,Others4,12545
31-May-20,Grand Total,2368500
31-May-20,Shipping,770
31-May-20,Transportation,28356
31-May-20,Healthcare Services,18415
31-May-20,Total Financial Services,706390
31-May-20,Hardware Technology & Equipment,47
31-May-20,Automobiles & Auto Components,114592
31-May-20,,
31-May-20,Healthcare Equipment & Supplies,68
31-May-20,,
31-May-20,,"AUC as on May 31, 2020"
31-May-20,Banks,415061
31-May-20,Capital Goods,64759
31-May-20,Chemicals & Petrochemicals,35099
31-May-20,Coal,7005
31-May-20,Other Financial Services1,291329
31-May-20,Construction Materials,45192
31-May-20,Consumer Durables,47112
31-May-20,Diversified2,5254
31-May-20,Diversified Consumer Services,1758
31-May-20,Food & Drugs Retailing,0
31-May-20,"Food, Beverages & Tobacco",96545
31-May-20,Forest Materials,535
31-May-20,General Industrials,10855
31-May-20,Commercial Services & Supplies,5861
15-Jun-20,Roads & Highways,997
15-Jun-20,Shipping,814
15-Jun-20,Surface Transportation,23
15-Jun-20,Transport Related Services,6269
15-Jun-20,Airport Services,2599
15-Jun-20,Media,16491
15-Jun-20,Marine Port & Services,12550
15-Jun-20,Software & Services,302762
15-Jun-20,Oil & Gas,298482
15-Jun-20,Pharmaceuticals & Biotechnology,121982
15-Jun-20,Real Estate Investment,0
15-Jun-20,Realty,21882
15-Jun-20,Retailing,37682
15-Jun-20,Telecom Services,85499
15-Jun-20,Telecommunications Equipment,96
15-Jun-20,"Textiles, Apparels & Accessories",27510
15-Jun-20,Transportation,30006
15-Jun-20,Grand Total,2485128
15-Jun-20,Others4,18054
15-Jun-20,Sovereign,0
15-Jun-20,Utilities3,67173
15-Jun-20,Metals & Mining,28773
15-Jun-20,Insurance,69271
15-Jun-20,Capital Goods,70842
15-Jun-20,"Hotels, Restaurants & Tourism",11065
15-Jun-20,,"AUC as on June 15, 2020"
15-Jun-20,,
15-Jun-20,,
15-Jun-20,Automobiles & Auto Components,119300
15-Jun-20,Total Financial Services,760775
15-Jun-20,Banks,440181
15-Jun-20,Household & Personal Products,123200
15-Jun-20,Logistics,1167
15-Jun-20,Chemicals & Petrochemicals,35688
15-Jun-20,Coal,6525
15-Jun-20,Commercial Services & Supplies,5889
15-Jun-20,Construction Materials,45569
15-Jun-20,Consumer Durables,47202
15-Jun-20,Diversified2,5219
15-Jun-20,Diversified Consumer Services,1873
15-Jun-20,Other Financial Services1,320595
15-Jun-20,Airlines,5587
15-Jun-20,Healthcare Equipment & Supplies,67
15-Jun-20,Hardware Technology & Equipment,45
15-Jun-20,General Industrials,11576
15-Jun-20,Forest Materials,586
15-Jun-20,Food & Drugs Retailing,0
15-Jun-20,Healthcare Services,19008
15-Jun-20,"Food, Beverages & Tobacco",95037
30-Jun-20,Surface Transportation,23
30-Jun-20,Construction Materials,47781
30-Jun-20,Commercial Services & Supplies,6208
30-Jun-20,Coal,6476
30-Jun-20,Chemicals & Petrochemicals,36256
30-Jun-20,Capital Goods,74567
30-Jun-20,Other Financial Services1,334971
30-Jun-20,Banks,475905
30-Jun-20,Total Financial Services,810876
30-Jun-20,Automobiles & Auto Components,125847
30-Jun-20,Transport Related Services,6799
30-Jun-20,Grand Total,2598955
30-Jun-20,Sovereign,0
30-Jun-20,Utilities3,69099
30-Jun-20,Consumer Durables,49585
30-Jun-20,,
30-Jun-20,Airport Services,2511
30-Jun-20,,
30-Jun-20,,"AUC as on June 30, 2020"
30-Jun-20,Roads & Highways,1110
30-Jun-20,Shipping,820
30-Jun-20,Others4,18914
30-Jun-20,Diversified2,5242
30-Jun-20,Telecom Services,86215
30-Jun-20,Food & Drugs Retailing,0
30-Jun-20,Software & Services,311359
30-Jun-20,Retailing,38286
30-Jun-20,Realty,22394
30-Jun-20,Real Estate Investment,0
30-Jun-20,Pharmaceuticals & Biotechnology,123041
30-Jun-20,Oil & Gas,312514
30-Jun-20,Metals & Mining,29681
30-Jun-20,Media,17101
30-Jun-20,Insurance,76169
30-Jun-20,Household & Personal Products,129424
30-Jun-20,Diversified Consumer Services,1915
30-Jun-20,"Hotels, Restaurants & Tourism",10979
30-Jun-20,Transportation,30727
30-Jun-20,Airlines,5672
30-Jun-20,Logistics,1151
30-Jun-20,Marine Port & Services,12639
30-Jun-20,Healthcare Services,18655
30-Jun-20,Healthcare Equipment & Supplies,67
30-Jun-20,Hardware Technology & Equipment,45
30-Jun-20,General Industrials,12043
30-Jun-20,Forest Materials,637
30-Jun-20,Telecommunications Equipment,127
30-Jun-20,"Textiles, Apparels & Accessories",28011
30-Jun-20,"Food, Beverages & Tobacco",98713
15-Jul-20,Diversified Consumer Services,1980
15-Jul-20,Diversified2,5414
15-Jul-20,,
15-Jul-20,Telecom Services,84777
15-Jul-20,Telecommunications Equipment,98
15-Jul-20,"Textiles, Apparels & Accessories",27921
15-Jul-20,Transportation,29884
15-Jul-20,Airlines,5415
15-Jul-20,Logistics,1233
15-Jul-20,Marine Port & Services,11647
15-Jul-20,Roads & Highways,1291
15-Jul-20,Shipping,841
15-Jul-20,Software & Services,344757
15-Jul-20,Surface Transportation,23
15-Jul-20,Airport Services,2431
15-Jul-20,Utilities3,64440
15-Jul-20,Sovereign,0
15-Jul-20,Others4,20052
15-Jul-20,Grand Total,2664453
15-Jul-20,,
15-Jul-20,Banks,470682
15-Jul-20,Total Financial Services,813980
15-Jul-20,Automobiles & Auto Components,129776
15-Jul-20,Transport Related Services,7002
15-Jul-20,Retailing,38358
15-Jul-20,,"AUC as on July 15, 2020"
15-Jul-20,Real Estate Investment,0
15-Jul-20,Realty,21273
15-Jul-20,Coal,6059
15-Jul-20,Commercial Services & Supplies,6113
15-Jul-20,Construction Materials,46143
15-Jul-20,Consumer Durables,50135
15-Jul-20,Chemicals & Petrochemicals,37781
15-Jul-20,Capital Goods,73871
15-Jul-20,Food & Drugs Retailing,0
15-Jul-20,"Food, Beverages & Tobacco",98512
15-Jul-20,Forest Materials,634
15-Jul-20,Other Financial Services1,343298
15-Jul-20,Hardware Technology & Equipment,44
15-Jul-20,Healthcare Equipment & Supplies,79
15-Jul-20,Healthcare Services,20535
15-Jul-20,"Hotels, Restaurants & Tourism",10809
15-Jul-20,Household & Personal Products,133066
15-Jul-20,Insurance,79908
15-Jul-20,Media,16426
15-Jul-20,Metals & Mining,31035
15-Jul-20,General Industrials,12564
15-Jul-20,Pharmaceuticals & Biotechnology,126621
15-Jul-20,Oil & Gas,331409
31-Jul-20,"Textiles, Apparels & Accessories",29236
31-Jul-20,Telecommunications Equipment,91
31-Jul-20,Telecom Services,82474
31-Jul-20,Real Estate Investment,0
31-Jul-20,Retailing,38007
31-Jul-20,Realty,21845
31-Jul-20,Transportation,30321
31-Jul-20,Software & Services,378020
31-Jul-20,Airlines,5383
31-Jul-20,Others4,22097
31-Jul-20,Marine Port & Services,11485
31-Jul-20,Roads & Highways,1332
31-Jul-20,Shipping,853
31-Jul-20,Surface Transportation,23
31-Jul-20,Transport Related Services,7348
31-Jul-20,Airport Services,2709
31-Jul-20,Utilities3,65913
31-Jul-20,Sovereign,0
31-Jul-20,Pharmaceuticals & Biotechnology,139557
31-Jul-20,Grand Total,2788693
31-Jul-20,Logistics,1187
31-Jul-20,Oil & Gas,372265
31-Jul-20,General Industrials,13335
31-Jul-20,Media,14944
31-Jul-20,,"AUC as on July 31, 2020"
31-Jul-20,,
31-Jul-20,,
31-Jul-20,Automobiles & Auto Components,138290
31-Jul-20,Total Financial Services,825974
31-Jul-20,Banks,480327
31-Jul-20,Capital Goods,73477
31-Jul-20,Chemicals & Petrochemicals,39467
31-Jul-20,Coal,6053
31-Jul-20,Commercial Services & Supplies,6654
31-Jul-20,Metals & Mining,32721
31-Jul-20,Construction Materials,48521
31-Jul-20,Diversified2,5538
31-Jul-20,Diversified Consumer Services,1989
31-Jul-20,Food & Drugs Retailing,0
31-Jul-20,"Food, Beverages & Tobacco",98194
31-Jul-20,Forest Materials,1113
31-Jul-20,Hardware Technology & Equipment,43
31-Jul-20,Healthcare Equipment & Supplies,82
31-Jul-20,Healthcare Services,22521
31-Jul-20,"Hotels, Restaurants & Tourism",10824
31-Jul-20,Household & Personal Products,131921
31-Jul-20,Insurance,85088
31-Jul-20,Consumer Durables,52118
31-Jul-20,Other Financial Services1,345647
15-Aug-20,"Textiles, Apparels & Accessories",30444
15-Aug-20,Transportation,31344
15-Aug-20,"Hotels, Restaurants & Tourism",12096
15-Aug-20,Healthcare Services,22817
15-Aug-20,Healthcare Equipment & Supplies,82
15-Aug-20,Hardware Technology & Equipment,44
15-Aug-20,General Industrials,15204
15-Aug-20,Forest Materials,1147
15-Aug-20,"Food, Beverages & Tobacco",102021
15-Aug-20,Food & Drugs Retailing,1
15-Aug-20,Diversified Consumer Services,2089
15-Aug-20,Diversified2,5942
15-Aug-20,Household & Personal Products,130629
15-Aug-20,Consumer Durables,54930
15-Aug-20,Commercial Services & Supplies,7573
15-Aug-20,Coal,6166
15-Aug-20,Chemicals & Petrochemicals,40612
15-Aug-20,Capital Goods,79418
15-Aug-20,Other Financial Services1,357876
15-Aug-20,Banks,492200
15-Aug-20,Total Financial Services,850076
15-Aug-20,Automobiles & Auto Components,144407
15-Aug-20,,
15-Aug-20,Construction Materials,47747
15-Aug-20,,
15-Aug-20,Insurance,81196
15-Aug-20,Metals & Mining,37758
15-Aug-20,Airlines,6232
15-Aug-20,Logistics,1191
15-Aug-20,Marine Port & Services,12750
15-Aug-20,Roads & Highways,1467
15-Aug-20,Shipping,940
15-Aug-20,Surface Transportation,27
15-Aug-20,Transport Related Services,6096
15-Aug-20,Airport Services,2640
15-Aug-20,Utilities3,66491
15-Aug-20,Sovereign,0
15-Aug-20,Others4,21293
15-Aug-20,Grand Total,2855983
15-Aug-20,Telecommunications Equipment,105
15-Aug-20,Telecom Services,80284
15-Aug-20,Software & Services,376658
15-Aug-20,Retailing,40908
15-Aug-20,Realty,22714
15-Aug-20,Real Estate Investment,0
15-Aug-20,Pharmaceuticals & Biotechnology,146016
15-Aug-20,Oil & Gas,381051
15-Aug-20,Media,16722
15-Aug-20,,"AUC as on August 15, 2020"
31-Aug-20,,"AUC as on August 31, 2020"
31-Aug-20,Transportation,32838
31-Aug-20,,
31-Aug-20,"Textiles, Apparels & Accessories",30692
31-Aug-20,,
31-Aug-20,Commercial Services & Supplies,9382
31-Aug-20,Total Financial Services,920984
31-Aug-20,Retailing,43299
31-Aug-20,Realty,25567
31-Aug-20,Real Estate Investment,0
31-Aug-20,Pharmaceuticals & Biotechnology,140435
31-Aug-20,Oil & Gas,375625
31-Aug-20,Metals & Mining,38963
31-Aug-20,Media,20498
